day,analyst,sitecode,habitat,river,code,stigmaspecies,stigmatype,pollenfamily,pollenspecies,origin,origin2,quantity,nstigmas,meanpollen,,,,,,
10/10/13,Carine,1,invaded,frome,1,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,8,3,2.666666667,,,,,,
10/10/13,Carine,1,invaded,frome,1,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,1151,3,383.6666667,,,,,,
10/10/13,Carine,1,invaded,frome,2,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,102,3,34,,,,,,
10/10/13,Carine,1,invaded,frome,2,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,274,3,91.33333333,,,,,,
10/10/13,Carine,1,invaded,frome,3,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,79,3,26.33333333,,,,,,
10/10/13,Carine,1,invaded,frome,3,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,28,3,9.333333333,,,,,,
10/10/13,Carine,1,invaded,frome,4,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,145,3,48.33333333,,,,,,
10/10/13,Carine,1,invaded,frome,4,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,9,3,3,,,,,,
10/10/13,Carine,1,invaded,frome,5,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,350,3,116.6666667,,,,,,
10/10/13,Carine,1,invaded,frome,5,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,187,3,62.33333333,,,,,,
10/10/13,Carine,1,invaded,frome,6,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,41,3,13.66666667,,,,,,
10/10/13,Carine,1,invaded,frome,6,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,92,3,30.66666667,,,,,,
10/11/13,Carine,1,invaded,frome,7,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,258,3,86,,,,,,
10/11/13,Carine,1,invaded,frome,7,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,15,3,5,,,,,,
10/11/13,Carine,1,invaded,frome,7,Circaea lutetiana,wet,ni,ni,heterospecific,heterospecific,3,3,1,,,,,,
10/11/13,Carine,1,invaded,frome,8,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,145,3,48.33333333,,,,,,
10/11/13,Carine,1,invaded,frome,8,Circaea lutetiana,wet,Balsaminaceae,Impatiens glandulifera,heterospecific,HB,17,3,5.666666667,,,,,,
10/11/13,Carine,1,invaded,frome,9,Circaea lutetiana,wet,Onagraceae,Circaea lutetiana,conspecific,conspecific,14,3,4.666666667,,,,,,
