Species No.,Pollen donate from,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Number of heterospecific pollen receipt,,Stachys kouyangensis *,Pedicularis densispica ,Nepeta laevigata ,Microula sikkimensis,Mentha haplocalyx,Galeopsis bifida ,Dipsacus chinensis ,Potentilla lancinata,Cirsium shansiense,Elsholtzia densa,Picris hieracioides,Astragalus pullus ,Silene asclepiadea,Geranium sibiricum
1,Stachys kouyangensis,,95,,,,3,,,,,1,4,,1
2,Pedicularis densispica ,7,,1,1,,2,,,,1,,5,1,
3,Nepeta laevigata ,,58,,44,1,2,1,,7,,,2,1,1
4,Microula sikkimensis,,1,,,,1,,,1,2,2,3,7,
5,Mentha haplocalyx,2,5,1,269,,2,2,,1,4,5,7,1,11
6,Galeopsis bifida ,12,153,2,4,3,,1,,2,,2,61,3,1
7,Dipsacus chinensis ,5,135,16,15,6,22,,8,10,7,11,30,,4
8,Potentilla lancinata,4,37,2,343,4,30,3,,2,25,68,28,82,73
9,Cirsium shansiense,9,699,11,78,16,14,3,4,,43,21,125,1,2
10,Elsholtzia densa,1,3,,42,,,,,,,1,6,,
11,Picris hieracioides,98,66,9,133,9,9,,29,11,27,,155,17,11
12,Astragalus pullus ,3,32,2,5,,7,4,,,,,,1,
13,Silene asclepiadea,235,2878,138,66,149,180,,24,,22,4,249,,17
14,Geranium sibiricum,28,30,6,92,4,17,3,41,,78,36,16,69,
