individual,plant,grain,fragment,insect,treatment,site,date,
SSS122,Grupo Conium-Ammi,387,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS122,Oxalis sp.,7,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS122,indeterminate,1,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS137,Grupo Conium-Ammi,4007,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS137,Verbena sp.,2,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS137,Oxalis sp.,2,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS130,Grupo Conium-Ammi,1031,C-leon,Limnophora sp.,c,sc,Nov,
SSS130,Asteraceae,3,C-leon,Limnophora sp.,c,sc,Nov,
SSS130,Hirschfeldia incana,1,C-leon,Limnophora sp.,c,sc,Nov,
SSS130,indeterminate,1,C-leon,Limnophora sp.,c,sc,Nov,
SSS130,Verbena sp.,1,C-leon,Limnophora sp.,c,sc,Nov,
SSS124,Grupo Conium-Ammi,60,C-leon,Toxomerus sp.,c,sc,Nov,
SSS124,Geranium sp.,15,C-leon,Toxomerus sp.,c,sc,Nov,
SSS124,Verbena sp.,2,C-leon,Toxomerus sp.,c,sc,Nov,
SSS136,Grupo Conium-Ammi,12580,C-leon,Astylus quadrilineatus,c,sc,Nov,
SSS136,Hirschfeldia incana,83,C-leon,Astylus quadrilineatus,c,sc,Nov,
SSS136,Verbena sp.,2,C-leon,Astylus quadrilineatus,c,sc,Nov,
SSS126,Grupo Conium-Ammi,189,C-leon,Limnophora sp.,c,sc,Nov,
SSS126,Verbena sp.,2,C-leon,Limnophora sp.,c,sc,Nov,
SSS126,Asteraceae,1,C-leon,Limnophora sp.,c,sc,Nov,
SSS126,indeterminate,1,C-leon,Limnophora sp.,c,sc,Nov,
SSS126,Hirschfeldia incana,1,C-leon,Limnophora sp.,c,sc,Nov,
SSS133,Grupo Conium-Ammi,1711,C-leon,Limnophora sp.,c,sc,Nov,
SSS133,Hirschfeldia incana,20,C-leon,Limnophora sp.,c,sc,Nov,
SSS133,Oxalis sp.,1,C-leon,Limnophora sp.,c,sc,Nov,
SSS133,Verbena sp.,5,C-leon,Limnophora sp.,c,sc,Nov,
SSS133,indeterminate,1,C-leon,Limnophora sp.,c,sc,Nov,
SSS91,Hirschfeldia incana,15649,C-leon,Dialictus sp.13,c,sc,Nov,
SSS91,Grupo Conium-Ammi,389,C-leon,Dialictus sp.13,c,sc,Nov,
SSS132,Grupo Conium-Ammi,6165,C-leon,Oxysarcodexia varia,c,sc,Nov,
SSS132,indeterminate,1,C-leon,Oxysarcodexia varia,c,sc,Nov,
SSS132,Asteraceae,1,C-leon,Oxysarcodexia varia,c,sc,Nov,
SSS132,Hirschfeldia incana,1,C-leon,Oxysarcodexia varia,c,sc,Nov,
SSS123,Grupo Conium-Ammi,305,C-leon,Curculionidae sp5,c,sc,Nov,
SSS123,Capsela-bursapastoris,2,C-leon,Curculionidae sp5,c,sc,Nov,
SSS123,Hirschfeldia incana,1,C-leon,Curculionidae sp5,c,sc,Nov,
SSS88,Grupo Conium-Ammi,3283,C-leon,Dialictus sp.13,c,sc,Nov,
SSS88,Hirschfeldia incana,8316,C-leon,Dialictus sp.13,c,sc,Nov,
SSS88,Geranium sp.,1,C-leon,Dialictus sp.13,c,sc,Nov,
SSS134,Grupo Conium-Ammi,8944,C-leon,Dilophus sp.,c,sc,Nov,
SSS134,indeterminate,1,C-leon,Dilophus sp.,c,sc,Nov,
SSS134,Wharlengernia sp.,1,C-leon,Dilophus sp.,c,sc,Nov,
SSS134,Anagaslis sp.,1,C-leon,Dilophus sp.,c,sc,Nov,
SSS138,Grupo Conium-Ammi,576,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS138,Hirschfeldia incana,2,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS138,Anagaslis sp.,5,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS138,indeterminate,1,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS138,indeterminate,4,C-leon,Chrysomelidae sp2,c,sc,Nov,
SSS90,Grupo Conium-Ammi,94,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS90,Hirschfeldia incana,3,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS90,indeterminate,2,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS92,Hirschfeldia incana,161,C-leon,Toxomerus sp.,c,sc,Nov.10,
SSS92,Grupo Conium-Ammi,23,C-leon,Toxomerus sp.,c,sc,Nov.10,
SSS92,Geranium sp.,3,C-leon,Toxomerus sp.,c,sc,Nov.10,
SSS92,indeterminate,2,C-leon,Toxomerus sp.,c,sc,Nov.10,
SSS93,Hirschfeldia incana,2,C-leon,Toxomerus sp.,c,sc,Nov.10,
SSS93,indeterminate,1,C-leon,Toxomerus sp.,c,sc,Nov.10,
SSS127,Grupo Conium-Ammi,102,C-leon,Anthomyiidae sp5,c,sc,Nov.10,
SSS127,Solanum sp.,9,C-leon,Anthomyiidae sp5,c,sc,Nov.10,
SSS135,Grupo Conium-Ammi,2658,C-leon,Stratiomyiidae sp2 ,c,sc,Nov.10,
SSS135,Solanum sp.,15,C-leon,Stratiomyiidae sp2 ,c,sc,Nov.10,
SSS135,Hirschfeldia incana,5,C-leon,Stratiomyiidae sp2 ,c,sc,Nov.10,
SSS89,Grupo Conium-Ammi,42,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS89,Hirschfeldia incana,6,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS89,indeterminate,1,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS154,Glandularia perubiana,418,C-v’as,Ceratina montana,c,sc,Nov.10,
SSS154,Hirschfeldia incana,87,C-v’as,Ceratina montana,c,sc,Nov.10,
SSS154,Grupo Lactuca-Sonchus,1,C-v’as,Ceratina montana,c,sc,Nov.10,
SSS154,indeterminate,2,C-v’as,Ceratina montana,c,sc,Nov.10,
SSS87,Grupo Conium-Ammi,111,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS87,Hirschfeldia incana,258,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS87,Geranium sp.,1,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS87,indeterminate,1,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS121,Grupo Conium-Ammi,1160,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS121,Asteraceae,6,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS121,Solanum sp.,1,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS121,Hirschfeldia incana,1,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS121,Verbena sp.,1,C-leon,Allograpta exotica,c,sc,Nov.10,
SSS129,Grupo Conium-Ammi,1420,C-leon,Anthomyiidae sp1,c,sc,Nov.10,
SSS129,Hirschfeldia incana,1,C-leon,Anthomyiidae sp1,c,sc,Nov.10,
SSS105,Grupo Conium-Ammi,920,A-leon,Anthomyiidae sp1,a,sc,Nov.10,
SSS105,Solanum sp.,2,A-leon,Anthomyiidae sp1,a,sc,Nov.10,
SSS105,Hirschfeldia incana,1,A-leon,Anthomyiidae sp1,a,sc,Nov.10,
SSS125,Grupo Conium-Ammi,658,C-leon,Anthomyiidae sp5,c,sc,Nov.10,
SSS125,Solanum sp.,1,C-leon,Anthomyiidae sp5,c,sc,Nov.10,
SSS125,indeterminate,1,C-leon,Anthomyiidae sp5,c,sc,Nov.10,
SSS128,Grupo Conium-Ammi,1110,C-leon,Anthomyiidae sp5,c,sc,Nov.10,
SSS255,Hirschfeldia incana,6594,A-v’as,Apis mellifera,a,sc,Dic.10,
SSS255,Verbena sp.,2,A-v’as,Apis mellifera,a,sc,Dic.10,
SSS255,indeterminate,1,A-v’as,Apis mellifera,a,sc,Dic.10,
SSS252,Hirschfeldia incana,2383,A-v’as,Dialictus sp.21,a,sc,Dic.10,
SSS252,Adesmia sp.,595,A-v’as,Dialictus sp.21,a,sc,Dic.10,
SSS252,Grupo Conium-Ammi,2,A-v’as,Dialictus sp.21,a,sc,Dic.10,
SSS252,Grupo Crepis-Hypochoeris,9,A-v’as,Dialictus sp.21,a,sc,Dic.10,
SSS302,Grupo Carduus-Cirsium,462,C-leon,Apis mellifera,c,sc,Dic.10,
SSS302,Hirschfeldia incana,13,C-leon,Apis mellifera,c,sc,Dic.10,
SSS302,Eucaliptus sp.,27,C-leon,Apis mellifera,c,sc,Dic.10,
SSS302,Asteraceae,1,C-leon,Apis mellifera,c,sc,Dic.10,
SSS302,Grupo Conium-Ammi,60,C-leon,Apis mellifera,c,sc,Dic.10,
SSS302,indeterminate,1,C-leon,Apis mellifera,c,sc,Dic.10,
SSS253,Hirschfeldia incana,6713,A-v’as,Dialictus sp.20,a,sc,Dic.10,
SSS253,Grupo Crepis-Hypochoeris,2,A-v’as,Dialictus sp.20,a,sc,Dic.10,
SSS253,Capsela-bursapastoris,1,A-v’as,Dialictus sp.20,a,sc,Dic.10,
SSS254,Hirschfeldia incana,10047,A-v’as,Apis mellifera,a,sc,Dic.10,
SSS254,Capsela-bursapastoris,1,A-v’as,Apis mellifera,a,sc,Dic.10,
SSS254,Eucaliptus sp.,26,A-v’as,Apis mellifera,a,sc,Dic.10,
SSS254,Grupo Conium-Ammi,2,A-v’as,Apis mellifera,a,sc,Dic.10,
SSS298,Grupo Conium-Ammi,1235,C-leon,Anthomyiidae sp5,c,sc,Dic.10,
SSS298,indeterminate,2,C-leon,Anthomyiidae sp5,c,sc,Dic.10,
SSS299,Grupo Conium-Ammi,224,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS299,Grupo Carduus-Cirsium,7,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS299,Eucaliptus sp.,7,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS281,Grupo Conium-Ammi,387,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS281,Eucaliptus sp.,5,C-leon,Allograpta exotica,c,sc,Dic.10,
SSS281,Grupo Carduus-Cirsium,2,C-leon,Allograpta exotica,c,sc,Dic.10,
