plant,fragment,site,treatment,co_grains,he_grains,stigma,co_grains/stigma,he_grains/stigma,land_use,status,total polen
Hirschfeldia incana,C-leon,SC,open,492,26,2,246,13,r,e,259
Hirschfeldia incana,C-leon,SC,open,438,26,2,219,13,r,e,232
Hirschfeldia incana,C-leon,SC,open,470,53,2,235,26.5,r,e,261.5
Hirschfeldia incana,C-leon,SC,open,831,34,2,415.5,17,r,e,432.5
Hirschfeldia incana,C-leon,SC,open,853,36,2,426.5,18,r,e,444.5
Hirschfeldia incana,C-leon,SC,open,1120,40,2,560,20,r,e,580
Hirschfeldia incana,C-leon,SC,open,774,19,2,387,9.5,r,e,396.5
Hirschfeldia incana,C-leon,SC,open,384,13,2,192,6.5,r,e,198.5
Hirschfeldia incana,C-leon,SC,open,655,9,2,327.5,4.5,r,e,332
Hirschfeldia incana,C-leon,SC,open,1054,187,2,527,93.5,r,e,620.5
Hirschfeldia incana,C-leon,SC,open,516,66,2,258,33,r,e,291
Hirschfeldia incana,C-leon,SC,open,712,16,2,356,8,r,e,364
Hirschfeldia incana,C-leon,SC,open,572,5,2,286,2.5,r,e,288.5
Hirschfeldia incana,C-leon,SC,open,1117,81,2,558.5,40.5,r,e,599
Hirschfeldia incana,C-leon,SC,open,541,20,2,270.5,10,r,e,280.5
Hirschfeldia incana,C-leon,SC,open,278,33,2,139,16.5,r,e,155.5
Hirschfeldia incana,C-leon,SC,open,615,23,2,307.5,11.5,r,e,319
Hirschfeldia incana,C-leon,SC,closed,1208,2,2,604,1,r,e,605
Hirschfeldia incana,C-leon,SC,closed,546,4,2,273,2,r,e,275
Hirschfeldia incana,C-leon,SC,closed,917,6,2,458.5,3,r,e,461.5
Hirschfeldia incana,C-leon,SC,closed,261,2,2,130.5,1,r,e,131.5
Hirschfeldia incana,C-leon,SC,closed,503,0,2,251.5,0,r,e,251.5
Hirschfeldia incana,C-leon,SC,closed,362,0,2,181,0,r,e,181
Hirschfeldia incana,C-leon,SC,closed,1310,3,2,655,1.5,r,e,656.5
Hirschfeldia incana,C-leon,SC,closed,362,13,2,181,6.5,r,e,187.5
Hirschfeldia incana,C-leon,SC,closed,899,16,2,449.5,8,r,e,457.5
Hirschfeldia incana,C-leon,SC,closed,774,22,2,387,11,r,e,398
Hirschfeldia incana,C-leon,SC,closed,802,4,2,401,2,r,e,403
Hirschfeldia incana,C-leon,SC,closed,434,3,2,217,1.5,r,e,218.5
Hirschfeldia incana,A-v’as,SC,open,623,5,2,311.5,2.5,a,e,314
Hirschfeldia incana,A-v’as,SC,open,506,3,2,253,1.5,a,e,254.5
Hirschfeldia incana,A-v’as,SC,open,300,3,2,150,1.5,a,e,151.5
Hirschfeldia incana,A-v’as,SC,open,639,4,2,319.5,2,a,e,321.5
Hirschfeldia incana,A-v’as,SC,open,866,1,2,433,0.5,a,e,433.5
Hirschfeldia incana,A-v’as,SC,open,525,3,2,262.5,1.5,a,e,264
Hirschfeldia incana,A-v’as,SC,open,1090,11,2,545,5.5,a,e,550.5
Hirschfeldia incana,A-v’as,SC,open,553,1,2,276.5,0.5,a,e,277
Hirschfeldia incana,A-v’as,SC,open,366,2,2,183,1,a,e,184
Hirschfeldia incana,A-v’as,SC,open,229,0,2,114.5,0,a,e,114.5
Hirschfeldia incana,A-v’as,SC,open,432,2,2,216,1,a,e,217
Hirschfeldia incana,A-v’as,SC,open,135,1,2,67.5,0.5,a,e,68
Hirschfeldia incana,A-v’as,SC,open,1105,1,2,552.5,0.5,a,e,553
Hirschfeldia incana,A-v’as,SC,open,424,1,2,212,0.5,a,e,212.5
Hirschfeldia incana,A-v’as,SC,open,699,0,2,349.5,0,a,e,349.5
Hirschfeldia incana,A-v’as,SC,open,340,0,1,340,0,a,e,340
Hirschfeldia incana,A-v’as,SC,closed,880,1,2,440,0.5,a,e,440.5
Hirschfeldia incana,A-v’as,SC,closed,388,0,2,194,0,a,e,194
Hirschfeldia incana,A-v’as,SC,closed,465,1,2,232.5,0.5,a,e,233
Hirschfeldia incana,A-v’as,SC,closed,284,0,2,142,0,a,e,142
Hirschfeldia incana,A-v’as,SC,closed,408,1,2,204,0.5,a,e,204.5
Hirschfeldia incana,A-v’as,SC,closed,334,1,2,167,0.5,a,e,167.5
Hirschfeldia incana,A-v’as,SC,closed,518,2,2,259,1,a,e,260
Hirschfeldia incana,A-v’as,SC,closed,314,0,2,157,0,a,e,157
Hirschfeldia incana,A-v’as,SC,open,869,2,2,434.5,1,a,e,435.5
Hirschfeldia incana,A-v’as,SC,open,778,4,2,389,2,a,e,391
Hirschfeldia incana,A-v’as,SC,open,706,0,2,353,0,a,e,353
Hirschfeldia incana,A-v’as,SC,open,1012,0,2,506,0,a,e,506
Hirschfeldia incana,A-v’as,SC,open,836,1,2,418,0.5,a,e,418.5
Hirschfeldia incana,A-v’as,SC,open,733,0,2,366.5,0,a,e,366.5
Hirschfeldia incana,A-v’as,SC,open,819,4,2,409.5,2,a,e,411.5
Hirschfeldia incana,A-v’as,SC,open,1438,2,2,719,1,a,e,720
Hirschfeldia incana,A-v’as,SC,open,948,1,2,474,0.5,a,e,474.5
Hirschfeldia incana,A-v’as,SC,closed,579,4,2,289.5,2,a,e,291.5
Hirschfeldia incana,A-v’as,SC,closed,591,2,2,295.5,1,a,e,296.5
Hirschfeldia incana,A-v’as,SC,closed,599,4,1,599,4,a,e,603
Hirschfeldia incana,A-v’as,SC,open,804,7,2,402,3.5,a,e,405.5
Hirschfeldia incana,A-v’as,SC,open,436,0,1,436,0,a,e,436
Hirschfeldia incana,A-v’as,SC,open,688,1,2,344,0.5,a,e,344.5
Hirschfeldia incana,A-alfalfa,AN,open,1076,3,2,538,1.5,a,e,539.5
Hirschfeldia incana,A-alfalfa,AN,open,968,6,2,484,3,a,e,487
