plant,fragment,insect,date,site
Hirschfeldia incana,C-leon,Campsomeris sp2,Nov.10,SC
Hirschfeldia incana,C-leon,Dialictus sp.13,Nov.10,SC
Hirschfeldia incana,C-leon,Dialictus sp.13,Nov.10,SC
Hirschfeldia incana,C-leon,Dialictus sp.13,Nov.10,SC
Hirschfeldia incana,C-leon,Palpada elegans,Nov.10,SC
Geranium sp. ,C-leon,Chrysomelidae sp2,Nov.10,SC
Geranium sp. ,C-leon,Chrysomelidae sp2,Nov.10,SC
Conium maculatum,C-leon,Oxysarcodexia varia,Nov.10,SC
Conium maculatum,C-leon,Oxysarcodexia paulistanensis,Nov.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,C-leon,Anthomyiidae sp1,Nov.10,SC
Conium maculatum,C-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,C-leon,Tachinidae sp47,Nov.10,SC
Conium maculatum,C-leon,Tachinidae sp47,Nov.10,SC
Conium maculatum,C-leon,Tachinidae sp47,Nov.10,SC
Conium maculatum,C-leon,Fanniidae,Nov.10,SC
Conium maculatum,C-leon,Compsomyiops fulvicrura,Nov.10,SC
Conium maculatum,C-leon,Stratiomyiidae sp1,Nov.10,SC
Conium maculatum,C-leon,Culicidae sp2,Nov.10,SC
Conium maculatum,C-leon,Pseudagapostemon pampeanus,Nov.10,SC
Conium maculatum,C-leon,Curculionidae sp5,Nov.10,SC
Conium maculatum,C-leon,Curculionidae sp5,Nov.10,SC
Conium maculatum,C-leon,Chrysomelidae sp2,Nov.10,SC
Hirschfeldia incana,A-leon,Syllimnophora sp.,Nov.10,SC
Hirschfeldia incana,A-leon,Limnophora sp.,Nov.10,SC
Hirschfeldia incana,A-leon,Oxysarcodexia varia,Nov.10,SC
Hirschfeldia incana,A-leon,Anthomyiidae sp1,Nov.10,SC
Hirschfeldia incana,A-leon,Palpada meijenii,Nov.10,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Nov.10,SC
Hirschfeldia incana,A-leon,Dialictus sp.21,Nov.10,SC
Conium maculatum,A-leon,Oxysarcodexia varia,Nov.10,SC
Conium maculatum,A-leon,Micreocerella sp.,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp1,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp5,Nov.10,SC
Conium maculatum,A-leon,Anthomyiidae sp1,Nov.10,SC
