Survey,date,Site,Plant observed,Plant family,Flower visitor ID,Flower visitor_order,Flower visitor_family,Visitation frequency,flower units observed per plant species,Flower abundance,total area_sampled_m2,Visitor_type 
1,November 2010,SC_A-leon,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,1,0.005,200,No visits
1,November 2010,SC_A-leon,Conium maculatum,Apiaceae,Anthomyiidae sp1,Diptera,Anthomyiidae,1,1,0.005,200,Fly
1,November 2010,SC_A-leon,Trifolium repens,Fabaceae,No visits,No visits,No visits,0,3,0.015,200,No visits
2,December 2010,SC_A-leon,no florwers,no florwers,No visits,No visits,No visits,0,0,0,200,No visits
3,January 2011,SC_A-leon,Portulaca oleracea,Portulacaceae,No visits,No visits,No visits,0,9,0.045,200,No visits
3,January 2011,SC_A-leon,Conyza bonariensis,Asteraceae,No visits,No visits,No visits,0,7,0.035,200,No visits
3,January 2011,SC_A-leon,Medicago sativa,Fabaceae,No visits,No visits,No visits,0,188,0.94,200,No visits
3,January 2011,SC_A-leon,Carduus acanthoides,Asteraceae,Chauliognatus scriptus,Coleoptera,Cantharidae,4,19,0.095,200,beetle
3,January 2011,SC_A-leon,Hirschfeldia incana,Brassicaceae,Allograpta exotica,Diptera,Syrphidae,3,258,1.29,200,Fly
3,January 2011,SC_A-leon,Glycine max,Fabaceae,No visits,No visits,No visits,0,20803,104.015,200,No visits
3,January 2011,SC_A-leon,Carduus acanthoides,Asteraceae,Dialictus sp15,Hymenoptera,Halictidae,1,19,0.095,200,bee
3,January 2011,SC_A-leon,Hirschfeldia incana,Brassicaceae,Dialictus sp21,Hymenoptera,Halictidae,2,258,1.29,200,bee
3,January 2011,SC_A-leon,Hirschfeldia incana,Brassicaceae,Oxysarcodexia varia,Diptera,Sarcophagidae,1,258,1.29,200,Fly
3,January 2011,SC_A-leon,Hirschfeldia incana,Brassicaceae,Toxomerus sp,Diptera,Syrphidae,2,258,1.29,200,Fly
4,february 2011,SC_A-leon,Glycine max,Fabaceae,No visits,No visits,No visits,0,2445,12.225,200,No visits
4,february 2011,SC_A-leon,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,61,0.305,200,No visits
4,february 2011,SC_A-leon,Carduus acanthoides,Asteraceae,No visits,No visits,No visits,0,3,0.015,200,No visits
4,february 2011,SC_A-leon,Trifolium repens,Fabaceae,No visits,No visits,No visits,0,6,0.03,200,No visits
4,february 2011,SC_A-leon,Medicago sativa,Fabaceae,Colias lesbia,Lepidoptera,Pieridae,1,229,1.145,200,butterfly
5,March 2011,SC_A-leon,Medicago sativa,Fabaceae,Colias lesbia,Lepidoptera,Pieridae,3,50,0.25,200,butterfly
5,March 2011,SC_A-leon,Carduus acanthoides,Asteraceae,Colias lesbia,Lepidoptera,Pieridae,8,12,0.06,200,butterfly
5,March 2011,SC_A-leon,Conyza bonariensis,Asteraceae,Braconidae sp5,Hymenoptera,Braconidae,1,1864,9.32,200,other
5,March 2011,SC_A-leon,Aster squamatus,Asteraceae,No visits,No visits,No visits,0,14,0.07,200,No visits
5,March 2011,SC_A-leon,Hirschfeldia incana,Brassicaceae,Colias lesbia,Lepidoptera,Pieridae,1,44,0.22,200,butterfly
5,March 2011,SC_A-leon,Carduus acanthoides,Asteraceae,Dilophus sp,Diptera,Bibionidae,1,8,0.04,200,Fly
5,March 2011,SC_A-leon,Carduus acanthoides,Asteraceae,Noctuidea sp4,Lepidoptera,Noctuidea,1,8,0.04,200,butterfly
5,March 2011,SC_A-leon,Conyza bonariensis,Asteraceae,Dialictus sp20,Hymenoptera,Halictidae,1,1864,9.32,200,bee
5,March 2011,SC_A-leon,Conyza bonariensis,Asteraceae,Pseudagapostemon pampeanus,Hymenoptera,Halictidae,1,1864,9.32,200,bee
1,November 2010,SC_A-vias,Adesmia bicolor,Fabaceae,No visits,No visits,No visits,0,222,1.11,200,No visits
1,November 2010,SC_A-vias,Hirschfeldia incana,Brassicaceae,No visits,No visits,No visits,0,33,0.165,200,No visits
1,November 2010,SC_A-vias,Cirsium vulgare,Asteraceae,No visits,No visits,No visits,0,2,0.01,200,No visits
1,November 2010,SC_A-vias,Trifolium pratense,Fabaceae,No visits,No visits,No visits,0,31,0.155,200,No visits
1,November 2010,SC_A-vias,Trifolium repens,Fabaceae,No visits,No visits,No visits,0,63,0.315,200,No visits
1,November 2010,SC_A-vias,Verbena bonariensis,Verbenaceae,No visits,No visits,No visits,0,28,0.14,200,No visits
1,November 2010,SC_A-vias,Hypochaeris pampasica,Asteraceae,No visits,No visits,No visits,0,5,0.025,200,No visits
1,November 2010,SC_A-vias,Oxalis sp,Oxalidaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
1,November 2010,SC_A-vias,Sonchus sp,Asteraceae,No visits,No visits,No visits,0,6,0.03,200,No visits
1,November 2010,SC_A-vias,Sisyrinchium platense,Iridaceae,No visits,No visits,No visits,0,10,0.05,200,No visits
2,December 2010,SC_A-vias,Crepis setosa,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
2,December 2010,SC_A-vias,Verbena gracilescens,Verbenaceae,No visits,No visits,No visits,0,10,0.05,200,No visits
2,December 2010,SC_A-vias,Sisyrinchium platense,Iridaceae,No visits,No visits,No visits,0,2,0.01,200,No visits
2,December 2010,SC_A-vias,Cirsium vulgare,Asteraceae,No visits,No visits,No visits,0,1,0.005,200,No visits
2,December 2010,SC_A-vias,Centaurium pulchellum,Gentianacae,No visits,No visits,No visits,0,61,0.305,200,No visits
