asp.aes,ast.sp,bel.bel,bra.big,bra.sp6,eri.alp,fum.pro,gal.sp,ger.sp,hel.ape,lin.tri,med.lun,mor.sp1,mor.sp2,mor.sp5,ros.off,scr.sm1,thy.vel
and.mic.PM-0317,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ant.bal.PM-0320,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
ant.plv.PM-0508,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ant.plv.PM-0511,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
byr.sp.PM-0328,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cam.lat.PM-0583,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cer.sp.PM-0362,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
cha.sic.PM-0319,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
che.sp.PM-0356,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
col.sp.PM-0521,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eri.ten.PM-0330,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1
eup.cor.PM-0359,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
eur.sp.PM-0485,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
gmn.sp.PM-0529,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hem.sp1.PM-0526,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hop.leu.PM-0363,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1
hop.leu.PM-0439,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
las.tra.PM-0426,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
mor.sp.PM-0355,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oed.fla.PM-0367,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oed.fla.PM-0381,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
oed.fla.PM-0420,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oed.fla.PM-0428,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
oed.fla.PM-0440,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oed.fla.PM-0480,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
oed.fla.PM-0507,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
osm.lat.PM-0338,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
osm.lat.PM-0365,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
osm.lat.PM-0429,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
osm.lat.PM-0430,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
par.pec.PM-0510,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
par.tib.PM-0450,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
pla.pyg.PM-0360,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pla.pyg.PM-0416,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pla.pyg.PM-0417,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pla.pyg.PM-0587,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
pod.hir.PM-0475,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pol.sul.PM-0509,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rho.sep.PM-0354,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
rho.sep.PM-0501,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
sph.sp.PM-0329,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
sph.sp.PM-0335,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
sph.sp.PM-0358,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
sph.sp.PM-0478,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sph.sp.PM-0481,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
sph.sp.PM-0532,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
