ant.sp,are.gra,big.shl,bra.bal,cer.sp,eup.cha,mor.sp4,pla.sp,rha.bou,scr.lin
adi.cin.PM-0332,0,1,0,0,0,0,0,0,1,0
and.agi.PM-0325,0,0,0,1,0,1,0,0,0,0
api.mel.PM-0318,0,0,1,0,1,0,1,0,0,1
att.sp.PM-0324,0,0,0,1,0,0,0,0,0,0
att.sp.PM-0336,0,0,0,1,0,0,0,0,0,0
att.sp.PM-0337,0,0,0,1,0,0,0,0,0,0
att.sp.PM-0340,0,0,0,0,0,1,0,0,0,0
bom.ter.PM-0679,1,0,0,0,0,0,0,0,1,0
bru.sp.PM-0346,0,1,0,0,0,1,0,0,0,0
bru.sp.PM-0364,0,1,0,0,0,0,0,0,0,0
byr.sp.PM-0321,0,0,0,0,0,1,0,1,0,0
cal.sti.PM-0334,0,0,0,0,1,0,0,0,0,0
dil.ant.PM-0314,0,0,0,0,1,1,0,0,0,0
dil.ant.PM-0322,0,0,0,0,0,1,0,0,1,0
dil.ant.PM-0331,0,0,0,0,0,0,0,0,1,0
eum.sp.PM-0339,0,0,0,0,0,1,0,0,0,0
eur.sp.PM-0344,0,0,0,0,0,1,0,0,0,0
hem.sp1.PM-0343,0,0,0,0,0,1,0,0,0,0
las.bal.PM-0323,0,0,0,0,0,1,0,1,0,0
las.bal.PM-0368,0,0,0,0,0,1,0,0,0,0
mor.sp.PM-0342,0,0,0,0,0,1,0,0,0,0
oxy.fun.PM-0313,0,0,0,1,0,0,0,0,0,0
par.pec.PM-0345,0,1,0,0,0,0,0,0,0,0
par.pec.PM-0366,0,1,0,0,0,1,0,0,0,0
sar.nig.PM-0347,0,1,0,0,0,0,0,0,1,0
sep.ful.PM-0333,0,0,0,0,0,0,0,0,1,0
tap.nig.PM-0315,0,0,0,0,0,1,0,0,0,0
vil.hot.PM-0716,0,0,0,0,0,0,0,1,0,0
