bra.sp4,cup.sp,eup.pit,ole.sp,pas.luc,san.cha,unk.sp1
cam.lat.PM-0558,0,0,0,0,0,1,0
chr.int.PM-0766,0,0,1,0,0,1,0
cyl.bra.PM-0629,0,0,0,0,0,1,0
dio.ins.PM-0671,0,0,1,0,0,1,0
hel.tri.PM-0384,0,0,0,1,1,0,1
hem.sp2.PM-0525,0,0,0,0,0,1,0
hol.fer.PM-0564,0,0,1,0,0,0,0
hol.fer.PM-0565,0,0,1,0,0,1,0
hol.fer.PM-0575,0,0,0,0,0,1,0
las.bal.PM-0585,0,0,0,0,0,1,0
las.bal.PM-0630,0,1,1,0,0,1,0
las.gra.PM-0567,0,0,1,0,0,0,0
las.gra.PM-0675,0,0,1,0,0,1,0
meg.pil.PM-0569,0,0,0,1,0,1,0
mor.sp.PM-0733,0,0,1,0,0,0,0
par.qua.PM-0586,0,0,1,1,0,1,0
pol.sul.PM-0582,0,0,0,0,0,1,0
pol.sul.PM-0670,0,0,1,0,0,1,0
sar.min.PM-0736,1,0,1,0,0,1,0
sto.lun.PM-0665,0,1,0,0,0,1,0
thy.ele.PM-0581,0,1,1,1,0,1,0
vil.hot.PM-0576,0,0,0,1,0,1,0
