mic.fil,sin.ara,teu.sp,unk.sp2
ame.qua.PM-0614,0,0,1,0
amm.sp.PM-0577,1,0,1,0
api.mel.PM-0572,0,0,1,0
api.mel.PM-0768,1,0,1,0
chr.int.PM-0661,0,0,1,0
exo.bow.PM-0522,1,0,1,0
exo.bow.PM-0682,1,0,1,0
exo.bow.PM-0730,1,0,1,0
exo.bow.PM-0731,1,0,1,0
exo.bow.PM-0732,1,0,1,0
hal.sp.PM-0571,1,0,1,0
hal.sub.PM-0681,1,0,1,0
hal.ves.PM-0771,1,0,1,0
las.tra.PM-0638,1,0,1,0
meg.pil.PM-0559,1,0,1,0
par.tib.PM-0685,1,0,1,0
pht.sp.PM-0628,0,0,1,0
pod.hir.PM-0591,1,0,1,0
pod.hir.PM-0632,1,1,1,1
thy.ele.PM-0637,1,0,1,0
