bra.sp5,car.cor,ery.cam,pot.cau,tri.sp
ant.cin.PM-0633,0,1,1,0,1
api.mel.PM-0779,0,1,0,0,0
bar.sp.PM-0776,0,1,0,0,0
epi.bal.PM-0782,0,1,0,0,0
eri.ten.PM-0780,0,1,0,0,0
eri.ten.PM-0788,0,0,1,0,0
eum.sp.PM-0772,0,1,1,0,0
eup.cor.PM-0778,0,1,0,0,0
eup.cor.PM-0781,0,1,0,0,0
eup.luc.PM-0737,1,1,0,0,0
hal.sp.PM-0660,0,1,1,0,0
hal.sp.PM-0715,0,1,0,0,0
hal.sp.PM-0717,0,1,0,0,0
hal.sub.PM-0770,0,1,1,0,0
hal.ves.PM-0680,0,1,1,0,0
hal.ves.PM-0721,0,1,1,1,0
hal.ves.PM-0723,0,1,1,0,0
hym.sp.PM-0774,0,1,1,0,0
las.gem.PM-0722,0,1,1,0,0
las.nit.PM-0668,0,0,1,0,0
las.nit.PM-0761,0,1,1,0,0
las.nit.PM-0773,0,1,1,0,0
las.nit.PM-0777,0,1,0,1,0
mor.sp.PM-0664,0,1,0,0,0
mor.sp.PM-0786,0,1,1,0,0
sar.vil.PM-0735,0,1,0,0,0
sto.lun.PM-0767,0,1,0,0,0
sto.lun.PM-0785,0,0,1,0,0
