bra.sp3,dig.min,dwa.sp,hyp.bal,ipo.sp,leg.sp,phl.ita,pim.tra,sca.sp,sed.das
ant.man.PM-0502,0,1,0,1,0,0,1,0,0,0
ant.man.PM-0555,0,1,0,1,0,0,1,0,0,0
ant.man.PM-0626,0,0,0,1,0,1,0,0,0,0
api.mel.PM-0503,0,1,0,1,0,1,0,0,0,0
api.mel.PM-0621,0,0,0,1,0,0,0,0,0,0
api.mel.PM-0676,0,0,0,1,0,1,0,0,0,0
api.mel.PM-0714,0,0,0,1,0,1,0,0,0,0
att.sp.PM-0513,0,0,0,1,0,0,0,0,0,0
cam.lat.PM-0473,0,0,0,1,0,0,0,0,0,0
cam.lat.PM-0561,0,0,0,1,0,1,0,0,0,1
cha.sic.PM-0560,0,1,0,1,0,1,1,0,0,0
col.sp.PM-0432,0,0,0,1,0,0,0,0,0,0
eri.tae.PM-0658,0,0,0,1,0,1,0,0,0,0
eri.tae.PM-0678,0,0,0,1,0,1,0,0,0,0
eri.ten.PM-0470,0,0,0,1,0,1,0,1,1,0
eri.ten.PM-0563,0,0,0,1,0,1,0,0,0,0
eup.cor.PM-0617,0,0,1,1,0,0,0,0,0,0
eup.cor.PM-0758,0,0,0,1,0,1,0,0,0,0
eup.luc.PM-0574,0,0,0,1,0,1,0,0,0,0
hal.sp.PM-0634,0,0,0,1,1,1,0,0,0,0
hal.ves.PM-0568,0,0,0,1,0,1,0,0,0,1
hop.leu.PM-0483,0,0,0,1,0,0,0,0,0,1
las.nit.PM-0557,0,1,0,1,0,1,0,0,0,0
las.nit.PM-0624,0,0,0,1,0,0,0,1,0,0
las.tra.PM-0616,0,0,0,1,0,1,0,0,0,0
meg.pil.PM-0623,0,0,0,1,0,1,0,0,0,0
mor.sp.PM-0421,0,0,0,1,0,1,0,0,0,0
mor.sp.PM-0484,0,0,0,1,0,1,0,0,0,1
mor.sp.PM-0505,0,0,0,1,0,1,0,0,0,0
mor.sp.PM-0516,0,0,0,1,0,1,0,0,0,0
oed.fla.PM-0490,0,0,0,1,0,1,0,0,0,1
oed.fla.PM-0531,0,0,0,1,0,1,0,0,0,1
oed.fla.PM-0589,0,0,0,1,0,1,0,0,0,0
osc.fri.PM-0441,0,0,0,0,0,0,0,0,0,1
par.tib.PM-0476,0,0,0,1,0,1,0,0,0,1
par.tib.PM-0527,0,0,0,1,0,1,0,0,0,1
par.tib.PM-0584,0,0,0,1,0,1,0,0,0,0
pla.pyg.PM-0512,0,0,0,1,0,0,0,0,0,1
pro.min.PM-0625,0,0,0,1,0,1,0,0,0,0
sto.lun.PM-0659,0,0,0,1,0,1,0,0,0,0
sto.lun.PM-0783,0,0,0,1,0,1,0,0,0,0
syr.vit.PM-0530,0,0,0,1,0,1,0,0,0,0
syr.vit.PM-0784,0,0,0,1,0,1,0,0,0,0
syr.vit.PM-0787,0,0,0,1,0,1,0,0,0,0
vil.hot.PM-0719,1,0,0,1,0,1,0,0,0,0
