ast.bal,cal.rou,cen.cal,cup.sp,leg.sp,lin.ae.,lin.aer,ole.sp,phl.ita,pot.cau
anc.lng.PM-0534,0,0,0,0,0,0,0,1,1,0
ant.cin.PM-0533,0,1,0,1,1,0,0,0,1,0
ant.cin.PM-0603,0,0,0,0,1,0,0,0,1,0
ant.man.PM-0554,0,0,0,0,1,0,1,0,1,0
api.mel.PM-0701,0,0,0,0,1,0,0,0,0,0
cer.sp.PM-0536,0,1,0,0,1,1,0,0,1,0
dil.ant.PM-0326,0,0,0,0,0,0,0,1,0,0
eri.ten.PM-0693,0,0,0,1,1,0,0,0,0,0
eup.luc.PM-0599,0,0,0,0,1,0,0,1,0,0
las.gri.PM-0749,0,1,0,1,0,0,0,0,0,0
meg.pil.PM-0537,0,1,1,0,1,0,0,0,0,0
meg.pil.PM-0550,0,1,0,0,1,0,0,0,0,0
meg.pil.PM-0702,1,0,0,0,1,0,0,0,0,0
oed.cau.PM-0539,0,0,0,0,1,0,0,0,0,0
oed.cau.PM-0645,0,0,0,0,1,0,0,0,0,1
oed.fla.PM-0595,0,0,0,0,1,0,0,0,0,0
pla.pyg.PM-0448,0,0,0,0,1,0,0,0,0,0
rha.ful.PM-0455,0,0,0,0,1,0,0,1,0,0
rho.sep.PM-0449,1,0,0,0,0,0,0,0,1,0
rho.sep.PM-0491,1,0,0,0,0,0,0,0,1,0
rho.sep.PM-0535,1,1,0,0,1,0,0,0,1,0
syr.vit.PM-0700,0,0,0,0,1,0,0,1,0,0
