are.bal,are.lep,asp.aes,ast.sma,ast.sp,bra.sp5,bup.bal,cer.sp,cha.rod,eup.cha,ger.sp,hel.ape,med.lun,pla.sp,poa.sp,pot.ca.,ros.off,scr.sm2,sed.sp,sin.ara,unk.sp3,unk.sp4
api.mel.PM-0380,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
att.sp.PM-0390,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
att.sp.PM-0466,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
das.sp.PM-0465,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
del.pla.PM-0386,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
dol.bac.PM-0391,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
emp.ins.PM-0369,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eri.ten.PM-0327,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
eur.sp.PM-0389,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
hem.sp.PM-0409,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oed.fla.PM-0348,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
oed.fla.PM-0349,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
oed.fla.PM-0353,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oed.fla.PM-0371,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
oph.sp.PM-0463,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
osm.cae.PM-0375,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1
osm.lat.PM-0351,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
osm.lat.PM-0370,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
phe.cin.PM-0379,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
phe.cin.PM-0538,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psi.sp.PM-0374,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
psi.sp.PM-0396,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
psi.sp.PM-0397,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
sar.vil.PM-0350,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
sph.sp.PM-0372,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sto.lun.PM-0387,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
sto.lun.PM-0451,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
