are.gra,ast.big,bel.bel,dig.min,gal.sp,lin.tri,lon.sp,ran.wey,sed.das
ant.man.PM-0605,0,0,1,1,0,0,0,0,1
das.sp.PM-0388,0,0,1,0,1,0,0,0,0
das.sp.PM-0467,0,0,1,0,0,0,1,0,0
del.sp.PM-0405,0,0,1,0,0,0,0,0,0
del.sp.PM-0468,1,0,0,0,0,0,0,0,0
emp.ins.PM-0376,1,0,1,0,0,0,0,0,0
exo.bow.PM-0709,0,0,1,0,0,1,0,0,0
hem.sp.PM-0400,0,0,1,0,0,0,0,0,0
hem.sp.PM-0403,0,0,1,0,0,0,0,0,0
las.bal.PM-0392,0,0,0,0,0,0,0,0,1
las.nit.PM-0410,1,0,0,0,1,0,1,0,1
meg.pil.PM-0551,0,0,0,0,1,0,0,0,1
oed.cau.PM-0458,0,0,1,0,1,0,0,0,0
oed.fla.PM-0445,0,0,1,0,1,0,0,1,1
oph.sp.PM-0447,0,0,1,0,0,0,0,0,0
osc.fri.PM-0457,0,0,0,0,1,0,0,0,0
osm.lat.PM-0394,1,1,1,0,1,0,0,1,0
par.pec.PM-0597,0,0,0,0,1,1,0,0,0
par.tib.PM-0541,0,0,1,0,1,1,0,0,1
psi.sp.PM-0395,0,0,1,0,0,0,0,0,0
pte.sp.PM-0460,0,0,0,0,1,0,0,0,0
sca.dig.PM-0399,0,0,1,0,0,0,0,0,0
sph.sp.PM-0469,0,0,1,0,1,1,0,0,0
sph.sp.PM-0552,0,0,1,0,0,1,0,0,0
tap.nig.PM-0378,0,0,1,0,0,0,0,0,0
