car.cor,hyp.bal,mic.fil,pas.luc,san.cha,teu.sp
ant.cin.PM-0548,0,1,0,1,0,1
ant.cin.PM-0704,1,1,0,0,1,1
ant.cin.PM-0753,1,1,0,0,0,1
api.mel.PM-0742,1,0,0,0,0,1
api.mel.PM-0747,1,1,0,0,0,0
api.mel.PM-0750,1,1,0,0,0,0
att.sp.PM-0596,0,1,0,0,1,0
att.sp.PM-0746,1,1,0,0,0,0
cry.sp.PM-0598,0,1,0,1,1,0
cyl.bra.PM-0696,0,1,0,0,1,1
das.sp.PM-0407,0,1,0,0,0,0
del.sp.PM-0456,0,1,0,0,0,0
exo.bow.PM-0608,0,0,0,0,1,1
gmn.cla.PM-0655,0,0,0,1,1,0
hal.sp.PM-0646,0,1,0,1,1,1
hal.sp.PM-0650,0,1,1,0,1,1
hal.sp.PM-0705,1,1,1,1,1,1
hal.sp.PM-0754,1,1,0,0,0,1
las.alb.PM-0653,0,1,1,0,1,1
las.gem.PM-0743,0,1,0,0,1,1
las.gri.PM-0652,1,1,0,1,1,1
las.gri.PM-0740,1,1,0,1,0,1
las.mal.PM-0639,0,1,0,0,1,0
las.nit.PM-0594,0,1,0,0,1,0
las.nit.PM-0656,0,1,0,0,1,1
las.nit.PM-0745,0,1,0,0,0,1
las.sor.PM-0641,0,1,0,0,1,1
las.sor.PM-0708,0,1,0,0,0,1
las.tra.PM-0611,0,1,0,0,1,0
las.tra.PM-0699,0,1,0,0,1,1
lis.ten.PM-0739,1,0,0,0,0,1
mad.gla.PM-0642,0,0,0,0,1,0
meg.pil.PM-0712,1,1,0,0,1,1
meg.pil.PM-0751,1,1,0,0,0,1
mor.sp.PM-0454,0,1,0,0,0,0
mor.sp.PM-0459,0,1,0,1,0,0
oed.cau.PM-0654,0,1,0,0,1,0
par.pec.PM-0592,0,1,0,1,1,0
phe.cin.PM-0692,0,0,0,0,1,0
pod.hir.PM-0738,0,1,0,0,1,1
pol.dom.PM-0544,0,1,0,1,0,0
pol.sul.PM-0690,0,0,0,0,1,0
pol.sul.PM-0698,0,0,0,0,1,0
pro.min.PM-0647,0,1,0,0,0,1
pro.min.PM-0741,0,0,0,0,0,1
sca.pyr.PM-0790,1,1,0,1,0,0
sph.sp.PM-0610,0,1,0,1,1,1
sto.lun.PM-0694,0,0,0,0,1,0
sto.lun.PM-0697,1,0,0,1,1,0
sys.gra.PM-0602,0,1,0,0,1,1
sys.gra.PM-0649,0,1,0,0,1,1
tap.nig.PM-0453,0,1,0,0,0,0
tap.nig.PM-0461,0,1,0,1,0,0
tap.nig.PM-0547,0,0,0,1,0,0
tap.nig.PM-0612,0,1,0,0,1,0
xyl.vio.PM-0613,1,1,0,0,0,0
xyl.vio.PM-0657,1,1,0,0,1,1
xyl.vio.PM-0752,1,1,0,0,0,0
xyl.vio.PM-0755,1,1,0,0,0,1
