Site,ID,label,order,species,code,date,Lsp,Li,module,c,z,role,phenol,abun,no_weeks,sex
CN,1,adi.cin.PM-0332,DIP,adi.cin,PM-0332,24-may,2,2,2,0,-0.066998,P,may,1,1,m
CN,2,ame.qua.PM-0614,HYM,ame.qua,PM-0614,13-jul,2,2,4,0.5,-0.475964,P,july,4,3,f
CN,3,amm.sp.PM-0577,HYM,amm.sp,PM-0577,13-jul,5,5,4,0.64,-0.256288,C,july,1,2,m
CN,4,and.agi.PM-0325,HYM,and.agi,PM-0325,19-may,3,3,2,0.444444,-0.066998,P,may,1,1,f
CN,5,and.mic.PM-0317,HYM,and.mic,PM-0317,18-may,1,1,1,0,-0.533873,P,may,1,1,f
CN,6,ant.bal.PM-0320,HYM,ant.bal,PM-0320,18-may,4,4,1,0,0.04199,P,may,1,1,f
CN,7,ant.cin.PM-0633,HYM,ant.cin,PM-0633,20-jul,8,8,5,0.75,0.072306,C,july,3,3,m
CN,8,ant.man.PM-0502,HYM,ant.man,PM-0502,02-jul,5,3,6,0,-0.100622,P,july,6,4,m
CN,9,ant.man.PM-0555,HYM,ant.man,PM-0555,09-jul,5,4,6,0.375,-0.100622,P,july,6,4,m
CN,10,ant.man.PM-0626,HYM,ant.man,PM-0626,20-jul,5,3,6,0.444444,-0.242526,P,july,6,4,f
CN,11,ant.plv.PM-0508,DIP,ant.plv,PM-0508,02-jul,4,2,1,0.5,-0.533873,P,july,2,1,m
CN,12,ant.plv.PM-0511,DIP,ant.plv,PM-0511,02-jul,4,4,1,0.5,-0.341919,P,july,2,1,m
CN,13,api.mel.PM-0318,HYM,api.mel,PM-0318,18-may,12,6,2,0.444444,0.781647,P,may,55,13,NA
CN,14,api.mel.PM-0503,HYM,api.mel,PM-0503,02-jul,12,6,6,0.611111,-0.100622,P,july,55,13,f
CN,15,api.mel.PM-0572,HYM,api.mel,PM-0572,13-jul,12,2,4,0.5,-0.475964,P,july,55,13,NA
CN,16,api.mel.PM-0621,HYM,api.mel,PM-0621,20-jul,12,1,6,0,-0.384429,P,july,55,13,NA
CN,17,api.mel.PM-0676,HYM,api.mel,PM-0676,28-jul,12,3,6,0.444444,-0.242526,P,july,55,13,NA
CN,18,api.mel.PM-0714,HYM,api.mel,PM-0714,02-ago,12,3,6,0.444444,-0.242526,P,august,55,13,NA
CN,19,api.mel.PM-0768,HYM,api.mel,PM-0768,11-ago,12,4,4,0.625,-0.256288,C,august,55,13,NA
CN,20,api.mel.PM-0779,HYM,api.mel,PM-0779,17-ago,12,1,5,0,-0.361529,P,august,55,13,NA
CN,21,att.sp.PM-0324,COL,att.sp,PM-0324,18-may,4,1,2,0,-0.491321,P,may,68,9,NA
CN,22,att.sp.PM-0336,COL,att.sp,PM-0336,24-may,4,1,2,0,-0.491321,P,may,68,9,NA
CN,23,att.sp.PM-0337,COL,att.sp,PM-0337,24-may,4,1,2,0,-0.491321,P,may,68,9,NA
CN,24,att.sp.PM-0340,COL,att.sp,PM-0340,24-may,4,1,2,0,-0.491321,P,may,68,9,NA
CN,25,att.sp.PM-0341,COL,att.sp,PM-0341,24-may,4,1,7,NA,NA,NA,may,68,9,NA
CN,26,att.sp.PM-0513,COL,att.sp,PM-0513,02-jul,4,1,6,0,-0.384429,P,july,68,9,NA
CN,27,bar.sp.PM-0776,COL,bar.sp,PM-0776,17-ago,1,1,5,0,-0.361529,P,august,1,1,NA
CN,28,bom.ter.PM-0679,HYM,bom.ter,PM-0679,28-jul,7,7,2,0.77551,-0.066998,C,july,3,3,NA
CN,29,bru.sp.PM-0346,COL,bru.sp,PM-0346,24-may,2,2,2,0,-0.066998,P,may,2,2,NA
CN,30,bru.sp.PM-0364,COL,bru.sp,PM-0364,07-jun,2,1,2,0,-0.491321,P,june,2,2,NA
CN,31,byr.sp.PM-0321,COL,byr.sp,PM-0321,18-may,3,3,2,0.444444,-0.066998,P,may,2,2,NA
CN,32,byr.sp.PM-0328,COL,byr.sp,PM-0328,24-may,3,1,1,0,-0.533873,P,may,2,2,NA
CN,33,cal.sti.PM-0334,DIP,cal.sti,PM-0334,24-may,1,1,2,0,-0.491321,P,may,1,1,m
CN,34,cam.lat.PM-0473,HYM,cam.lat,PM-0473,01-jul,5,1,6,0,-0.384429,P,july,10,2,NA
CN,35,cam.lat.PM-0558,HYM,cam.lat,PM-0558,09-jul,5,3,3,0.666667,-0.514345,C,july,10,2,NA
CN,36,cam.lat.PM-0561,HYM,cam.lat,PM-0561,12-jul,5,3,6,0,-0.100622,P,july,10,2,NA
CN,37,cam.lat.PM-0583,HYM,cam.lat,PM-0583,13-jul,5,1,1,0,-0.533873,P,july,10,2,NA
CN,38,cer.sp.PM-0362,HYM,cer.sp,PM-0362,07-jun,8,8,1,0.6875,0.04199,C,june,4,1,m
CN,39,cha.sic.PM-0319,HYM,cha.sic,PM-0319,18-may,9,2,1,0,-0.341919,P,may,2,4,m
CN,40,cha.sic.PM-0560,HYM,cha.sic,PM-0560,12-jul,9,7,6,0.612245,0.041281,P,july,2,4,f
CN,41,che.sp.PM-0356,HYM,che.sp,PM-0356,07-jun,1,1,1,0,-0.533873,P,june,1,1,f
CN,42,chr.int.PM-0661,DIP,chr.int,PM-0661,28-jul,7,3,4,0.666667,-0.475964,C,july,9,7,m
CN,43,chr.int.PM-0766,DIP,chr.int,PM-0766,11-ago,7,6,3,0.722222,-0.232911,C,august,9,7,f
CN,44,col.sp.PM-0432,COL,col.sp,PM-0432,23-jun,2,1,6,0,-0.384429,P,june,2,2,NA
CN,45,col.sp.PM-0521,COL,col.sp,PM-0521,05-jul,2,1,1,0,-0.533873,P,july,2,2,NA
CN,46,cyl.bra.PM-0629,DIP,cyl.bra,PM-0629,20-jul,3,3,3,0.666667,-0.514345,C,july,7,5,NA
CN,47,dil.ant.PM-0314,DIP,dil.ant,PM-0314,13-may,5,2,2,0,-0.066998,P,may,7,3,f
CN,48,dil.ant.PM-0322,DIP,dil.ant,PM-0322,18-may,5,3,2,0.444444,-0.066998,P,may,7,3,m
CN,49,dil.ant.PM-0331,DIP,dil.ant,PM-0331,24-may,5,2,2,0.5,-0.491321,P,may,7,3,m
CN,50,dio.ins.PM-0671,HYM,dio.ins,PM-0671,28-jul,4,4,3,0.5,-0.232911,P,july,1,1,m
CN,51,epi.bal.PM-0782,DIP,epi.bal,PM-0782,17-ago,3,3,5,0.666667,-0.361529,C,august,1,1,f
CN,52,eri.tae.PM-0658,DIP,eri.tae,PM-0658,28-jul,7,4,6,0.625,-0.242526,C,july,2,1,m
CN,53,eri.tae.PM-0678,DIP,eri.tae,PM-0678,28-jul,7,5,6,0.72,-0.242526,C,july,2,1,m
CN,54,eri.ten.PM-0330,DIP,eri.ten,PM-0330,24-may,15,7,1,0.408163,0.233944,P,may,33,13,f
CN,55,eri.ten.PM-0470,DIP,eri.ten,PM-0470,01-jul,15,5,6,0.32,0.041281,P,july,33,13,f
