site,ID,label,Li,Lsp,c,z,role,module,pheno_weeks,pheno_peak,pollen_abun
CN,191,ant.sp,1,1,0,-0.491321,P,2,1,july,18066
CN,192,are.gra,9,6,0.444444,1.630293,P,2,7,may,2583
CN,193,asp.aes,5,4,0.32,0.04199,P,1,7,may,726
CN,194,ast.sp,60,33,0.647222,5.608665,NH,1,14,may,124757
CN,195,bel.bel,37,19,0.61943,3.305213,MH,1,12,june,55029
CN,196,big.shl,1,1,0,-0.491321,P,2,1,may,24
CN,197,bra.bal,7,5,0.408163,1.20597,P,2,4,may,181521
CN,198,bra.big,1,1,0,-0.533873,P,1,1,may,8
CN,199,bra.sp3,1,1,0,-0.384429,P,6,1,august,300
CN,200,bra.sp4,1,1,0,-0.514345,P,3,1,august,28
CN,201,bra.sp5,1,1,0,-0.361529,P,5,1,august,28
CN,202,bra.sp6,1,1,0,-0.533873,P,1,1,may,11
CN,203,car.cor,44,25,0.628099,4.844492,NH,5,6,august,97701
CN,204,cer.sp,4,4,0.375,0.357324,P,2,9,may,302
CN,205,cup.sp,5,5,0.56,0.048523,P,3,4,july,742
CN,206,dig.min,6,5,0.277778,0.183184,P,6,2,july,14760
CN,207,dwa.sp,1,1,0,-0.384429,P,6,1,july,62
CN,208,eri.alp,1,1,0,-0.533873,P,1,1,may,1240
CN,209,ery.cam,25,16,0.592,2.675317,MH,5,6,august,64585
CN,210,eup.cha,19,16,0.387812,5.024876,MH,2,7,may,15757
CN,211,eup.pit,19,16,0.559557,2.58143,MH,3,7,august,11998
CN,212,fum.pro,1,1,0,-0.533873,P,1,8,june,10
CN,213,gal.sp,30,20,0.528889,3.113259,MH,1,9,june,44245
CN,214,ger.sp,5,4,0,0.233944,P,1,11,june,236
CN,215,hel.ape,7,6,0,0.617853,P,1,11,june,1966
CN,216,hyp.bal,115,53,0.762798,5.71742,NH,6,11,july,1157720
CN,217,ipo.sp,1,1,0,-0.384429,P,6,1,july,34
CN,218,leg.sp,66,34,0.681818,4.298385,NH,6,11,july,264727
CN,219,lin.tri,4,3,0.375,-0.149964,P,1,8,july,347
CN,220,med.lun,1,1,0,-0.533873,P,1,1,june,184
CN,221,mic.fil,32,19,0.685547,2.81917,NH,4,11,july,15323
CN,222,mor.sp1,1,1,0,-0.533873,P,1,1,may,1203
CN,223,mor.sp2,1,1,0,-0.533873,P,1,1,may,1158
CN,224,mor.sp3,1,1,NA,NA,NA,7,1,may,86
CN,225,mor.sp4,1,1,0,-0.491321,P,2,1,may,100
CN,226,mor.sp5,1,1,0,-0.533873,P,1,1,may,12198
CN,227,ole.sp,8,8,0.53125,0.611391,P,3,6,july,597
CN,228,pas.luc,1,1,0,-0.514345,P,3,6,june,6740
CN,229,phl.ita,3,2,0,-0.100622,P,6,5,july,10350
CN,230,pim.tra,2,2,0,-0.242526,P,6,3,july,17105
CN,231,pla.sp,4,3,0.375,0.357324,P,2,3,august,23
CN,232,pot.cau,4,4,0.625,-0.144612,C,5,8,july,8122
