Abbreviation;Family;Genus;Species
Ade.cor;Fabaceae;Adesmia;corymbosa
Ade.par;Fabaceae;Adesmia;parviflora
Ane.mul;Ranunculaceae;Anemone;multifida
Arj.pat;Santalaceae;Arjona;patagonica
Arm.mar;Plumbaginaceae;Armeria;maritima
Ast.uni;Asteraceae;Asteraceae;unidentified
Azo.mon;Apiaceae;Azorella;monantha
Ber.sp;Berberidaceae;Berberis;sp
Cer.arv;Caryophyllaceae;Cerastium;arvense
Chi.ros;Asteraceae;Chiliotrichium;rosmarinifolium
Dis.cha;Rhamnaceae;Discaria;chacaye
Dis.nan;Rhamnaceae;Discaria;nana
Dra.gil;Brassicaceae;Draba;gilliesii
Eri.lep;Asteraceae;Erigeron;leptopetalus
Esc.alp;Escalloniaceae;Escallonia;alpina
Gam.sel;Calyceraceae;Gamocarpha;selliana
Gau.pum;Ericaceae;Gaultheria;pumila
Ger.ses;Geraniaceae;Geranium;sessiliflorum
Hua.and;Apiaceae;Huanaca;andina
Hyp.ten;Asteraceae;Hypochaeris;tenuifolia
Lat.mag;Fabaceae;Lathyrus;magellanicus 
Leu.mil;Asteraceae;Leucheria;millefolium
Loa.nan;Loasaceae;Loasa;nana
Mos.cal;Calyceraceae;Moschopsis;caleofuensis
Mul.ech;Apiaceae;Mulinum;echinus
Mul.lep;Apiaceae;Mulinum;leptacanthum
Nas.acu;Asteraceae;Nassauvia;aculeata
Nas.dar;Asteraceae;Nassauvia;darwinii
Nas.pyg;Asteraceae;Nassauvia;pygmaea
Nas.rev;Asteraceae;Nassauvia;revoluta
Nas.spa;Calyceraceae;Nastanthus;spathulatus
Ore.gla;Rubiaceae;Oreopolus;glacialis
Oxa.ery;Oxalidaceae;Oxalis;erythrorhiza
Per.bel;Asteraceae;Perezia;bellidifolia
Per.rec;Asteraceae;Perezia;recurvata
Pha.sec;Hydrophyllaceae;Phacelia;secunda
Pol.sal;Polygalaceae;Polygala;salasiana
Qui.chi;Santalaceae;Quinchamalium;chilense
Sen.arg;Asteraceae;Senecio;argyreus
Sen.bac;Asteraceae;Senecio;baccharidifolius
Sen.bip;Asteraceae;Senecio;bipontinii
Sen.boe;Asteraceae;Senecio;boelckei
Sen.gni;Asteraceae;Senecio;gnidioides
Sen.pac;Asteraceae;Senecio;pachyphyllos
Sen.pet;Asteraceae;Senecio;peterianus
Sen.poe;Asteraceae;Senecio;poeppigii cf.
Sen.por;Asteraceae;Senecio;portalesianus
Sen.spX;Asteraceae;Senecio;spX
Sis.are;Iridaceae;Sisyrinchium;arenarium
Val.car;Valerianaceae;Valeriana;carnosa
Vic.bij;Fabaceae;Vicia;bijuga
Vio.col;Violaceae;Viola;columnaris
