name,start,mean,end,category,type,completed
M. structural stability,1/04/17,15/04/17,30/04/17,research activities,line,
Explore & get more data,1/04/17,15/04/17,30/04/17,research activities,line,
Finalise analysis,30/04/17,1/06/17,15/06/17,research activities,line,
Break,15/06/17,23/06/17,1/07/17,,line,
Suspension,1/07/17,15/08/17,30/10/17,,line,
Write up & extra anal.,1/11/17,1/01/18,1/02/18,research activities,line,
Internship/Data Camp,1/05/18,1/06/18,1/11/18,,line,
Internship/Data Camp,15/06/19,15/07/19,15/08/19,,line,
Three year's mark,1/04/17,1/05/18,1/03/19,,line,completed
Funding limit,1/04/17,1/05/18,1/08/20,,line,completed
