date,fragment,transect,plant,flowers,site
Nov.10,A-alfalfa,1,Medicago sativa,5914,an
Nov.10,A-alfalfa,1,Hirschfeldia incana,3154,an
Nov.10,A-alfalfa,1,Physalis mendocina,4,an
Nov.10,A-alfalfa,1,Solanum elaeagnifolium,4,an
Nov.10,A-alfalfa,1,Conyza bonariensis,10,an
Nov.10,A-alfalfa,1,Pfaffia gnaphaloides,2,an
Nov.10,C-alfalfa,1,Nierembergia aristata,39,an
Nov.10,C-alfalfa,1,Solanum juvenale,206,an
Nov.10,C-alfalfa,1,Condalia microphylla,37742,an
Nov.10,C-alfalfa,1,Turnera sidioides,3,an
Nov.10,C-alfalfa,1,Sphaeralcea crispa,21,an
Nov.10,C-alfalfa,1,Rhynchosia senna,3,an
Nov.10,C-alfalfa,1,Malrubium vulgare,6,an
Nov.10,A-alfalfa,2,Medicago sativa,3926,an
Nov.10,A-alfalfa,2,Hirschfeldia incana,1720,an
Nov.10,A-alfalfa,2,Adesmia sp.,28,an
Nov.10,A-alfalfa,2,Gaillardia megapotamica,5,an
Nov.10,A-alfalfa,2,Conyza bonariensis,23,an
Nov.10,A-alfalfa,2,Solanum elaeagnifolium,2,an
Nov.10,C-alfalfa,2,Solanum juvenale,141,an
Nov.10,C-alfalfa,2,Condalia microphylla,1036,an
Nov.10,C-alfalfa,2,Sphaeralcea crispa,9,an
Nov.10,C-alfalfa,2,Rhynchosia senna,42,an
Nov.10,C-alfalfa,2,Pfaffia gnaphaloides,11,an
Nov.10,A-pastura,1,Hirschfeldia incana,9,an
Nov.10,A-pastura,1,Scrofulareaceae,2,an
Nov.10,A-pastura,1,Descurania argentina,7,an
Nov.10,A-pastura,1,Geranium sp.,1,an
Nov.10,C-pastura,1,Rhynchosia senna,232,an
Nov.10,C-pastura,1,Aloysia gratissima,30,an
Nov.10,C-pastura,1,Solanum elaeagnifolium,2,an
Nov.10,C-pastura,1,Nierembergia aristata,2,an
Nov.10,C-pastura,1,Clematis denticulata,21,an
Nov.10,C-pastura,1,Condalia microphylla,1224,an
Nov.10,C-pastura,1,Prosopidastrum globosum,16,an
Nov.10,C-pastura,1,Viguiera anchusaefolia,24,an
Nov.10,C-pastura,1,Lycium chilense,3,an
Nov.10,C-pastura,1,Turnera sidioides,1,an
Nov.10,A-pastura,2,Hirschfeldia incana,12,an
Nov.10,A-pastura,2,Vicia linealifolia,20,an
Nov.10,C-pastura,2,Rhamnaceae,380,an
Nov.10,C-pastura,2,Viguiera anchusaefolia,29,an
Nov.10,C-pastura,2,Solanum elaeagnifolium,26,an
Nov.10,C-pastura,2,Glandularia hookeriana,6,an
Nov.10,C-pastura,2,Pfaffia gnaphaloides,12,an
Nov.10,C-pastura,2,Prosopidastrum globosum,8,an
Nov.10,C-pastura,2,Solanum juvenale,2,an
Nov.10,C-pastura,2,Rhynchosia senna,241,an
Nov.10,C-pastura,2,Condalia microphylla,1440,an
Nov.10,C-pastura,2,Clematis denticulata,3,an
Nov.10,C-pastura,2,Lycium chilense,3,an
Dic.10,A-alfalfa,1,Medicago sativa,1134,an
Dic.10,A-alfalfa,1,Solanum elaeagnifolium,12,an
Dic.10,A-alfalfa,1,Hirschfeldia incana,11,an
Dic.10,A-alfalfa,1,Physalis mendocina,2,an
Dic.10,C-alfalfa,1,Sphaeralcea crispa,2,an
Dic.10,A-alfalfa,2,Carduus nutans,27,an
Dic.10,A-alfalfa,2,Hirschfeldia incana,60,an
Dic.10,A-alfalfa,2,Solanum elaeagnifolium,8,an
Dic.10,A-alfalfa,2,Conyza bonariensis,41,an
Dic.10,A-alfalfa,2,Medicago sativa,1173,an
Dic.10,C-pastura,2,Pfaffia gnaphaloides,5,an
Dic.10,A-pastura,1,Hirschfeldia incana,24,an
Dic.10,A-pastura,1,Clematis denticulata,1,an
Dic.10,A-pastura,1,Solanum elaeagnifolium,6,an
Dic.10,A-pastura,2,Hirschfeldia incana,1,an
Dic.10,A-pastura,2,Rapistrum rugosum,2,an
Dic.10,C-pastura,1,Bidens pilosa,20,an
Dic.10,C-pastura,1,Prosopidastrum globosum,21,an
Dic.10,C-pastura,2,Pfaffia gnaphaloides,8,an
Dic.10,C-pastura,2,Baccharis gilliesii,119,an
Dic.10,C-pastura,2,Prosopidastrum globosum,3,an
Ene.11,A-pastura,1,Hirschfeldia incana,23,an
Ene.11,A-pastura,1,Carduus acanthoides,1,an
Ene.11,C-pastura,1,Pfaffia gnaphaloides,5,an
Ene.11,C-pastura,1,Sphaeralcea crispa,1,an
Ene.11,C-pastura,1,Rhynchosia senna,17,an
Ene.11,C-pastura,1,Glandularia hookeriana,15,an
Ene.11,C-pastura,1,Solanum elaeagnifolium,1,an
Ene.11,C-pastura,1,Nierembergia aristata,1,an
Ene.11,C-pastura,1,Thelesperma sp.,3,an
Ene.11,C-pastura,1,Baccharis ulicina,12,an
