GENERAL INFORMATION,,,,,,,,ROOT TRAITS,,,,,,FLORAL TRAITS,,,,
Responsible,Country,plant species,Family,"habit (tree/shrub/herb/climber/parasite, etc)",native in study region (yes/no),photosynthetic pathway (C3/C4),life cycle (annual/perennial),typical soil nutrient level,ability to establish mycorrhizal associations (yes/no/rarely) ,mycorrhyza type,mycorrhyza frequency,N fixation ability ,proteoid root _cluster root (yes/no),flower diameter (mm),average number of flowers per cm2 (within flower units/inflorescences),average floral height in study site (cm ),corolla/nectar tube depth (mm),flower colour (as seen by humans)
Marrero,Argentina,Acmella decumbens,Asteraceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Adesmia bicolor,Fabaceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Adesmia sp,Fabaceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Agalinis communis,Orobanchaceae,herb,yes,,perennial,,,,,,,,,,,white and violet
Marrero,Argentina,Aloysia gratissima,Verbenaceae,shrub,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Ammi visnaga,Apiaceae,herb,no,,annual,,,,,,,,,,,white
Marrero,Argentina,Anagallis arvensis,Primulaceae,herb,no,,annual,,,,,,,,,,,red lead
Marrero,Argentina,Anoda cristata,Malvaceae,herb,yes,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Araujia angustifolia,Apocynaceae,climber,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina, Symphyotrichum graminifolium,Asteraceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Baccharis crispa,Asteraceae,shrub,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Baccharis gilliesii,Asteraceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Baccharis pingraea,Asteraceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Baccharis ulicina,Asteraceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Bidens pilosa,Asteraceae,herb,yes,,annual,,,,,,,,,,,white
Marrero,Argentina,Capsella bursa-pastoris,Brassicaceae,herb,no,,annual,,,,,,,,,,,white
Marrero,Argentina,Carduus acanthoides,Asteraceae,herb,no,,annual,,,,,,,,,,,violet
Marrero,Argentina,Carduus thoermeri,Asteraceae,herb,no,,annual,,,,,,,,,,,violet
Marrero,Argentina,Centaurea solstitialis,Asteraceae,herb,no,,annual,,,,,,,,,,,yellow
Marrero,Argentina,Centaurium pulchellum,Gentianacae,herb,no,,annual,,,,,,,,,,,pink
Marrero,Argentina,Chenopodium sp1 ,Chenopodiaceae,herb,yes,,annual,,,,,,,,,,,green
Marrero,Argentina,Cirsium vulgare,Asteraceae,herb,no,,annual,,,,,,,,,,,violet
Marrero,Argentina,Clematis montevidensis,Ranunculaceae,climber,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Condalia microphylla,Rhamnaceae,shrub,yes,,perennial,,,,,,,,,,,green
Marrero,Argentina,Conium maculatum,Apiaceae,herb,no,,annual,,,,,,,,,,,white
Marrero,Argentina,Convolvulus hermanniae,Convolvulaceae,climber,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Conyza bonariensis,Asteraceae,herb,yes,,annual,,,,,,,,,,,yellow
Marrero,Argentina,Crepis setosa,Asteraceae,herb,no,,annual,,,,,,,,,,,yellow
Marrero,Argentina,Cuphea glutinosa,Lythraceae,herb,yes,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Cuscuta sp,Convolvulaceae,parasite-climber,yes,,annual,,,,,,,,,,,white
Marrero,Argentina,Cypella herbertii,Iridaceae,herb,yes,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Descuraina argentina,Brassicaceae,herb,yes,,annual,,,,,,,,,,,white
Marrero,Argentina,Diplotaxis tenuifolia,Brassicaceae,herb,no,,perennial,,,,,,,,,,,yellow
Marrero,Argentina,Dipsacus sativus,Dipsacaceae,herb,no,,biannual,,,,,,,,,,,violet
Marrero,Argentina,Discaria sp,Rhamnaceae,shrub,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Eryngium coronatum,Apiaceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Eryngium ebracteatum,Apiaceae,herb,yes,,perennial,,,,,,,,,,,violet
Marrero,Argentina,Eryngium elegans,Apiaceae,herb,yes,,perennial,,,,,,,,,,,white
Marrero,Argentina,Eryngium horridum,Apiaceae,herb,yes,,perennial,,,,,,,,,,,white
